crdc_id,leaid,ncessch,report_dis,discip_dis,report_race,discip_race,report_sex,discip_sex,counselors_fte,psych_fte,social_fte,nurses_fte,security_fte,law_fte
040008301017,0400083,040008301017,0,0,0,0,0,0,0,0,0,0,0,0
040008301018,0400083,040008301018,0,0,0,0,0,0,0,0,0,0,0,0
040008901063,0400089,040008901063,0,0,0,0,0,0,0,0,0,0,0,0
040009001066,0400090,040009001066,0,0,0,0,0,0,0,0,0,0,0,0
040009201075,0400092,040009201075,0,0,0,0,0,0,0,0,0,0,0,0
040009301086,0400093,040009301086,0,0,0,0,0,0,0,0,0,0,0,0
040009401109,0400094,040009401109,0,0,0,0,0,0,1,0,0,0,0,1
040009501114,0400095,040009501114,0,0,0,0,0,0,1,0,0,0,1,0
040009601174,0400096,040009601174,0,0,0,0,0,0,1,0,0,0,0,0
040009701178,0400097,040009701178,0,0,1,1,0,0,1,1,0,0,0,0
040009801180,0400098,040009801180,0,0,0,0,0,0,1,0,0,0,0,0
040009901182,0400099,040009901182,0,0,0,0,1,1,0,0,0,0,0,0
040010001714,0400100,040010001714,0,0,1,1,1,1,0,0,0,1,0,0
040010201582,0400102,040010201582,1,1,1,1,1,1,1,0,0,0,0,0
040010601892,0400106,040010601892,0,0,0,0,0,0,0,0,0,0,0,0
040010701590,0400107,040010701590,0,0,0,0,0,0,0,0,0,0,0,0
040010702650,0400107,040010702650,0,0,0,0,0,0,0,0,0,0,0,0
040010802145,0400108,040010802145,0,0,0,0,0,0,0,0,0,0,0,0
040010802146,0400108,040010802146,0,0,0,0,0,0,0,0,0,0,0,0
040010901592,0400109,040010901592,0,0,0,0,0,0,0,0,0,0,0,0
040011101594,0400111,040011101594,0,0,0,0,0,0,0,1,0,0,0,0
040011201595,0400112,040011201595,0,0,0,0,0,0,0,1,0,1,0,0
040011203179,0400112,040011203179,0,0,0,0,0,0,1,1,0,1,1,1
040011203279,0400112,040011203279,0,0,0,0,0,0,0,1,0,1,0,0
040011203340,0400112,040011203340,0,0,1,1,0,0,0,1,0,1,0,0
040011203365,0400112,040011203365,0,0,1,1,0,0,0,1,0,1,0,0
040011203475,0400112,040011203475,0,0,1,1,1,1,1,1,1,1,1,1
040011203570,0400112,040011203570,0,0,0,0,0,0,0,1,0,1,0,0
040011203573,0400112,040011203573,0,0,0,0,1,1,1,1,0,1,1,1
040011203576,0400112,040011203576,0,0,0,0,0,0,0,1,0,1,0,0
040011301601,0400113,040011301601,0,0,0,0,0,0,0,0,0,0,0,0
040011501617,0400115,040011501617,0,0,0,0,0,0,0,0,0,0,0,0
040012101581,0400121,040012101581,0,0,0,0,0,0,0,0,0,0,0,0
040012201585,0400122,040012201585,0,0,0,0,0,0,1,0,0,0,0,0
040012401589,0400124,040012401589,0,0,0,0,0,0,0,0,0,0,0,0
040012601620,0400126,040012601620,0,0,0,0,0,0,1,1,0,0,0,0
040012601778,0400126,040012601778,0,0,0,0,0,0,1,1,0,0,0,0
040012901790,0400129,040012901790,0,0,0,0,0,0,0,0,0,0,0,0
040013001803,0400130,040013001803,0,0,0,0,0,0,1,0,0,0,0,0
040013002569,0400130,040013002569,0,0,0,0,0,0,0,0,0,0,0,0
040013101781,0400131,040013101781,0,0,0,0,0,0,0,0,0,0,0,0
040013101960,0400131,040013101960,0,0,0,0,0,0,0,0,0,0,0,0
040013102070,0400131,040013102070,0,0,0,0,0,0,0,0,0,0,0,0
040013103274,0400131,040013103274,0,0,0,0,0,0,0,0,0,0,0,0
040013401786,0400134,040013401786,0,0,0,0,0,0,0,0,0,0,0,0
040013501748,0400135,040013501748,0,0,0,0,0,0,0,0,0,0,0,0
040014101657,0400141,040014101657,0,0,0,0,0,0,0,0,0,0,0,0
040014401717,0400144,040014401717,0,0,0,0,0,0,1,0,0,0,0,0
040014501750,0400145,040014501750,0,0,0,0,0,0,0,0,0,0,0,0
040014701787,0400147,040014701787,0,0,0,0,0,0,0,0,0,0,0,0
040014901897,0400149,040014901897,0,0,0,0,0,0,1,0,0,0,1,0
040014903386,0400149,040014903386,0,0,0,0,0,0,0,0,0,0,0,0
040015001793,0400150,040015001793,0,0,0,0,0,0,0,0,0,0,0,0
040015003403,0400150,040015003403,0,0,0,0,0,0,0,0,0,0,0,0
040015101747,0400151,040015101747,0,0,0,0,0,0,0,0,0,0,0,0
040015301902,0400153,040015301902,0,0,0,0,0,0,0,0,0,0,0,0
040015401770,0400154,040015401770,0,0,0,0,0,0,0,0,0,0,1,0
040015701728,0400157,040015701728,0,0,0,0,0,0,1,0,0,0,0,0
040015703046,0400157,040015703046,0,0,0,0,0,0,0,0,0,0,1,0
040015901791,0400159,040015901791,0,0,0,0,0,0,1,0,0,0,0,0
040016001779,0400160,040016001779,0,0,0,0,0,0,0,0,0,0,0,0
040016301820,0400163,040016301820,0,0,0,0,0,0,0,1,0,0,NA,0
040016301821,0400163,040016301821,0,0,0,0,0,0,0,1,0,0,NA,1
040016302429,0400163,040016302429,0,0,0,0,0,0,1,0,0,0,0,0
040016303138,0400163,040016303138,0,0,0,0,0,0,0,0,0,0,0,0
040016401726,0400164,040016401726,0,0,0,0,0,0,0,1,0,0,0,0
040016501755,0400165,040016501755,0,0,0,0,0,0,0,0,0,0,0,0
040018101889,0400181,040018101889,0,0,0,0,0,0,0,0,0,0,0,0
040018201890,0400182,040018201890,0,0,0,0,0,0,0,1,0,0,0,0
040018202964,0400182,040018202964,0,0,0,0,0,0,0,1,0,0,0,0
040018401713,0400184,040018401713,0,0,0,0,0,0,0,1,0,1,0,0
040018502147,0400185,040018502147,0,0,0,0,0,0,1,0,1,1,1,0
040018701906,0400187,040018701906,0,0,0,0,0,0,0,0,0,0,0,0
040018901907,0400189,040018901907,0,0,0,0,0,0,0,0,0,0,0,0
040019001908,0400190,040019001908,0,0,0,0,0,0,0,0,0,0,0,0
040019003247,0400190,040019003247,0,0,0,0,0,0,0,0,0,1,0,0
040019101909,0400191,040019101909,0,0,0,0,0,0,0,0,0,0,0,0
040019103434,0400191,040019103434,0,0,0,0,0,0,0,0,0,0,0,0
040019103557,0400191,040019103557,0,0,0,0,0,0,0,0,0,0,0,0
040020102069,0400201,040020102069,0,0,0,0,0,0,1,0,0,0,1,0
040020201959,0400202,040020201959,0,0,0,0,0,0,1,0,0,0,0,0
040020202312,0400202,040020202312,0,0,0,0,0,0,0,0,0,0,0,0
040020203141,0400202,040020203141,0,0,0,0,0,0,0,0,0,0,0,0
040020401962,0400204,040020401962,0,0,0,0,0,0,0,0,0,0,0,0
040020501963,0400205,040020501963,0,0,0,0,0,0,1,0,0,0,0,0
040020801970,0400208,040020801970,0,0,0,0,0,0,0,0,0,0,0,0
040020901973,0400209,040020901973,0,0,0,0,0,0,0,0,0,0,0,0
040020903364,0400209,040020903364,0,0,0,0,0,0,0,0,0,0,0,0
040021001974,0400210,040021001974,0,0,0,0,0,0,0,0,0,0,0,0
040021101975,0400211,040021101975,0,0,0,0,0,0,1,0,0,0,0,0
040021200060,0400212,040021200060,0,0,0,0,0,0,1,0,0,0,0,0
040021200061,0400212,040021200061,0,0,0,0,0,0,1,0,0,0,0,0
040021201120,0400212,040021201120,0,0,0,0,0,0,1,0,0,0,0,0
040021202444,0400212,040021202444,0,0,0,0,0,0,0,0,0,0,0,0
040021203232,0400212,040021203232,0,0,0,0,0,0,0,0,0,0,0,0
040021302100,0400213,040021302100,0,0,0,0,0,0,1,0,0,0,0,0
040021401980,0400214,040021401980,0,0,0,0,0,0,1,0,0,0,0,0
040021702010,0400217,040021702010,0,0,1,1,0,0,0,0,0,0,0,0
040021801913,0400218,040021801913,0,0,0,0,0,0,0,0,0,1,0,0
040021902011,0400219,040021902011,0,0,0,0,0,0,0,0,0,0,0,0
040021902328,0400219,040021902328,0,0,0,0,0,0,0,0,0,0,0,0
040021902338,0400219,040021902338,0,0,0,0,0,0,0,0,0,0,0,0
040021902367,0400219,040021902367,0,0,0,0,0,0,0,0,0,0,0,0
040022101921,0400221,040022101921,0,0,0,0,0,0,0,0,1,0,0,0
040022302199,0400223,040022302199,0,0,0,0,0,0,0,0,0,0,0,0
040022501887,0400225,040022501887,1,1,1,0,1,1,1,1,0,0,0,0
040022702017,0400227,040022702017,0,0,0,0,0,0,0,0,0,0,0,0
040022901918,0400229,040022901918,0,0,0,0,0,0,0,0,0,0,0,0
040023002171,0400230,040023002171,0,0,0,0,0,0,0,0,0,0,1,0
040023102021,0400231,040023102021,0,0,0,0,1,1,1,0,0,0,0,0
040023202022,0400232,040023202022,0,0,0,0,0,0,1,1,0,0,0,0
040023503157,0400235,040023503157,0,0,0,0,0,0,0,0,0,0,0,0
040023701925,0400237,040023701925,0,0,0,0,0,0,0,0,0,0,0,0
040023801854,0400238,040023801854,0,0,0,0,0,0,0,0,0,0,0,0
040023902533,0400239,040023902533,0,0,0,0,0,0,0,0,0,0,0,0
040024102029,0400241,040024102029,0,0,0,0,0,0,1,1,0,1,0,0
040024102957,0400241,040024102957,0,0,0,0,0,0,1,1,0,0,1,0
040024302030,0400243,040024302030,0,0,0,0,0,0,0,0,0,0,0,0
040024401855,0400244,040024401855,0,0,0,0,0,0,1,0,0,0,0,0
040024402153,0400244,040024402153,0,0,0,0,0,0,0,0,0,0,0,0
040024601856,0400246,040024601856,0,0,0,0,0,0,0,0,0,0,0,0
040024603028,0400246,040024603028,0,0,0,0,0,0,0,0,0,0,0,0
040024603494,0400246,040024603494,0,0,0,0,0,0,0,0,0,0,0,0
040024801923,0400248,040024801923,1,1,0,0,0,0,1,0,0,0,0,0
040024803089,0400248,040024803089,0,0,0,0,0,0,1,0,0,0,0,0
040025402074,0400254,040025402074,0,0,0,0,0,0,1,0,0,0,0,0
040025403420,0400254,040025403420,0,0,0,0,0,0,1,0,0,0,0,0
040025502075,0400255,040025502075,0,0,1,1,1,1,1,1,0,0,0,0
040025802079,0400258,040025802079,0,0,0,0,0,0,0,0,0,0,0,0
040025902080,0400259,040025902080,0,0,0,0,0,0,0,1,0,0,1,0
040026101916,0400261,040026101916,0,0,0,0,0,0,1,1,0,0,0,0
040026302083,0400263,040026302083,0,0,0,0,0,0,0,0,0,0,0,0
040026402084,0400264,040026402084,0,0,0,0,0,0,0,0,0,0,0,0
040026602089,0400266,040026602089,0,0,0,0,0,0,0,0,0,0,0,0
040026702091,0400267,040026702091,0,0,0,0,0,0,0,0,0,0,0,0
040026802092,0400268,040026802092,0,0,0,0,0,0,0,0,0,1,0,0
040027402020,0400274,040027402020,0,0,0,0,0,0,0,0,0,0,0,0
040027502077,0400275,040027502077,0,0,0,0,0,0,0,0,0,0,0,0
040027601841,0400276,040027601841,0,0,0,0,0,0,1,0,0,0,0,0
040027802168,0400278,040027802168,0,0,0,0,0,0,0,0,0,0,0,0
040027902170,0400279,040027902170,0,0,0,0,0,0,0,0,0,0,0,0
040028002186,0400280,040028002186,0,0,0,0,0,0,1,0,0,0,0,0
040028102187,0400281,040028102187,0,0,0,0,1,1,1,1,0,0,0,0
040028202232,0400282,040028202232,0,0,1,1,0,0,0,0,0,1,1,0
040028202993,0400282,040028202993,0,0,0,0,0,0,0,0,0,1,1,0
040028203457,0400282,040028203457,0,0,0,0,0,0,0,0,0,0,0,0
040028402095,0400284,040028402095,0,0,0,0,0,0,0,0,0,0,0,0
040028502173,0400285,040028502173,0,0,0,0,0,0,0,0,0,0,0,0
040028802176,0400288,040028802176,0,0,1,0,1,0,0,0,1,0,0,1
040029002177,0400290,040029002177,0,0,0,0,0,0,0,0,0,0,1,0
040029500149,0400295,040029500149,0,0,0,0,0,0,0,0,0,0,0,0
040029500326,0400295,040029500326,0,0,0,0,0,0,0,0,0,0,0,1
040029500327,0400295,040029500327,0,0,0,0,0,0,0,0,0,0,0,0
040029500328,0400295,040029500328,0,0,0,0,0,0,0,0,0,0,0,0
040029500881,0400295,040029500881,0,0,0,0,0,0,1,1,0,0,0,1
040029501126,0400295,040029501126,0,0,0,0,0,0,1,0,0,0,0,0
040029501495,0400295,040029501495,0,0,0,0,0,0,0,0,0,0,0,0
040029501544,0400295,040029501544,0,0,0,0,0,0,0,0,0,0,0,0
040029502661,0400295,040029502661,0,0,0,0,0,0,1,0,0,0,0,1
040029503234,0400295,040029503234,0,0,0,0,0,0,1,0,0,0,0,0
040029503325,0400295,040029503325,0,0,0,0,0,0,1,0,0,0,0,1
040030302181,0400303,040030302181,0,0,0,0,0,0,0,0,0,0,0,0
040031002370,0400310,040031002370,0,0,0,0,0,0,1,0,0,0,0,0
040031102151,0400311,040031102151,0,0,0,0,0,0,0,0,0,0,0,0
040031102919,0400311,040031102919,0,0,0,0,0,0,1,0,0,0,0,0
040031103001,0400311,040031103001,0,0,0,0,0,0,1,0,0,0,0,0
